epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.6641,4.95386,5.46566,4.16714,0,0,0,0,5.09159,4.66847,4.14889,0.00038,0.00038,0.00038
2,20.783,3.67579,4.30794,3.7321,0,0,0,0,5.13225,4.72922,4.17657,0.000774852,0.000774852,0.000774852
3,27.5762,2.88928,2.816,2.94419,0,0,0,0,5.26758,4.74755,4.34601,0.00116442,0.00116442,0.00116442
4,34.2102,2.64823,2.41826,2.56507,0,0,0,0,5.25088,4.24193,4.33884,0.00154872,0.00154872,0.00154872
5,40.889,2.45601,2.11447,2.38571,0,0,0,0,5.19119,4.07782,4.25628,0.00192773,0.00192773,0.00192773
6,47.5156,2.4986,1.92074,2.36833,0.00335,0.16176,0.00205,0.00078,3.97608,3.94001,3.37443,0.001934,0.001934,0.001934
7,54.1324,2.15109,1.68012,2.21133,0.532,0.15059,0.33778,0.12904,2.20545,2.70562,2.44009,0.0019208,0.0019208,0.0019208
8,60.7429,2.10357,1.50509,2.09729,0.72255,0.52941,0.67221,0.28964,1.94874,1.71859,2.17172,0.0019076,0.0019076,0.0019076
9,67.343,2.00204,1.37288,2.07287,0.85061,0.70588,0.81826,0.38889,1.67724,1.17208,1.93413,0.0018944,0.0018944,0.0018944
10,74.0206,2.03579,1.35894,2.04459,0.73915,0.85294,0.80256,0.36197,1.74709,1.07757,1.9496,0.0018812,0.0018812,0.0018812
11,80.5551,1.88241,1.26523,1.94322,0.74134,0.82353,0.8773,0.47351,1.64568,1.02736,1.86789,0.001868,0.001868,0.001868
12,87.1709,1.90536,1.2371,1.91622,0.83276,0.87874,0.93682,0.4647,1.68849,0.97453,1.88517,0.0018548,0.0018548,0.0018548
13,93.7216,1.78644,1.1147,1.86579,0.77223,0.79777,0.88339,0.47775,1.5236,1.00172,1.77257,0.0018416,0.0018416,0.0018416
14,100.383,1.73075,1.03325,1.80371,0.80127,0.88943,0.88077,0.48729,1.59358,0.94939,1.8127,0.0018284,0.0018284,0.0018284
15,107.042,1.76064,1.02844,1.81609,0.81272,0.85294,0.90147,0.52563,1.51047,0.91945,1.74799,0.0018152,0.0018152,0.0018152
16,113.658,1.69193,0.9953,1.75249,0.88111,0.87198,0.95223,0.52855,1.49232,0.83469,1.68521,0.001802,0.001802,0.001802
17,120.273,1.62192,0.97066,1.68211,0.84338,0.91176,0.95881,0.53707,1.57171,0.99127,1.77053,0.0017888,0.0017888,0.0017888
18,126.87,1.58961,0.89846,1.63171,0.89601,0.88702,0.94451,0.57435,1.47165,0.78592,1.69069,0.0017756,0.0017756,0.0017756
19,133.561,1.60604,0.95217,1.6706,0.99285,0.86765,0.9569,0.5009,1.55344,0.87979,1.73327,0.0017624,0.0017624,0.0017624
20,140.084,1.6159,0.91932,1.61772,0.87689,0.89706,0.93399,0.50556,1.56702,0.90317,1.71637,0.0017492,0.0017492,0.0017492
21,146.624,1.64009,0.89971,1.64932,0.96907,0.92152,0.96898,0.60861,1.42599,0.71473,1.62989,0.001736,0.001736,0.001736
22,153.245,1.61122,0.88655,1.64567,0.9008,0.93486,0.96482,0.53763,1.52035,0.81945,1.70823,0.0017228,0.0017228,0.0017228
23,159.873,1.56472,0.86054,1.63416,0.95856,0.94118,0.97875,0.58165,1.36145,0.70146,1.56492,0.0017096,0.0017096,0.0017096
24,166.595,1.57949,0.85545,1.57565,0.98405,0.90756,0.97555,0.61544,1.34911,0.69451,1.5484,0.0016964,0.0016964,0.0016964
25,173.216,1.52102,0.84097,1.56747,0.95291,0.89288,0.97157,0.58626,1.38318,0.74727,1.57407,0.0016832,0.0016832,0.0016832
26,179.775,1.44574,0.79992,1.50259,0.96399,0.89706,0.96203,0.61932,1.4815,0.71713,1.64324,0.00167,0.00167,0.00167
27,186.374,1.46506,0.79041,1.53027,0.95432,0.92164,0.96353,0.60792,1.32801,0.70272,1.53437,0.0016568,0.0016568,0.0016568
28,192.929,1.47069,0.79043,1.54675,0.949,0.94118,0.96557,0.58057,1.42966,0.71184,1.59526,0.0016436,0.0016436,0.0016436
29,199.529,1.45397,0.76079,1.51414,0.99349,0.95588,0.9898,0.60594,1.37039,0.6589,1.59114,0.0016304,0.0016304,0.0016304
30,206.106,1.46397,0.76117,1.48646,0.96283,0.92647,0.95892,0.61573,1.29178,0.61068,1.52733,0.0016172,0.0016172,0.0016172
31,212.611,1.46502,0.74244,1.49652,0.9559,0.91176,0.95404,0.55877,1.40789,0.75515,1.57359,0.001604,0.001604,0.001604
32,219.146,1.42676,0.72845,1.45281,0.95507,0.9378,0.97121,0.6181,1.37535,0.65193,1.52625,0.0015908,0.0015908,0.0015908
33,225.694,1.41945,0.73514,1.485,0.98389,0.8979,0.96674,0.59968,1.41551,0.65717,1.56916,0.0015776,0.0015776,0.0015776
34,232.279,1.36559,0.70708,1.45174,0.96711,0.95588,0.9843,0.62447,1.40945,0.65693,1.58368,0.0015644,0.0015644,0.0015644
35,238.897,1.39716,0.71849,1.43405,0.97956,0.94118,0.97871,0.64518,1.31402,0.62877,1.50122,0.0015512,0.0015512,0.0015512
36,245.529,1.41429,0.721,1.46067,0.95525,0.94118,0.98658,0.63689,1.251,0.59857,1.46428,0.001538,0.001538,0.001538
37,252.062,1.38794,0.68898,1.44876,0.95454,0.92642,0.97308,0.58088,1.36945,0.69158,1.58922,0.0015248,0.0015248,0.0015248
38,258.631,1.38237,0.72669,1.44897,0.98478,0.95185,0.98663,0.6503,1.24427,0.59226,1.4571,0.0015116,0.0015116,0.0015116
39,265.337,1.35677,0.69372,1.41721,0.98188,0.94118,0.99059,0.64109,1.25521,0.56088,1.46604,0.0014984,0.0014984,0.0014984
40,271.887,1.34133,0.68324,1.415,0.9856,0.98529,0.99407,0.64851,1.29097,0.57378,1.4831,0.0014852,0.0014852,0.0014852
41,278.444,1.32192,0.66467,1.38366,0.97817,0.98529,0.98739,0.592,1.31603,0.60359,1.51588,0.001472,0.001472,0.001472
42,285.011,1.31209,0.66085,1.4213,0.98278,0.97059,0.98098,0.61232,1.40463,0.60819,1.5171,0.0014588,0.0014588,0.0014588
43,291.607,1.35781,0.66783,1.40447,0.95445,0.92441,0.93969,0.59547,1.32256,0.59038,1.50627,0.0014456,0.0014456,0.0014456
44,298.211,1.36664,0.66017,1.42071,0.98258,0.94118,0.96103,0.61313,1.33947,0.57291,1.48615,0.0014324,0.0014324,0.0014324
45,304.753,1.32129,0.65473,1.36994,0.99409,0.95588,0.98099,0.62195,1.29834,0.58255,1.4828,0.0014192,0.0014192,0.0014192
46,311.269,1.32859,0.66,1.39045,0.98133,0.94118,0.96117,0.59554,1.34432,0.59328,1.53717,0.001406,0.001406,0.001406
47,317.806,1.29902,0.68966,1.389,0.9418,0.952,0.98523,0.62351,1.22794,0.60817,1.46724,0.0013928,0.0013928,0.0013928
48,324.383,1.31528,0.677,1.39061,0.96567,0.95588,0.98567,0.63637,1.27213,0.54509,1.45133,0.0013796,0.0013796,0.0013796
49,330.913,1.30455,0.6441,1.35648,0.98336,0.95588,0.98116,0.62902,1.28027,0.5461,1.48399,0.0013664,0.0013664,0.0013664
50,337.464,1.3402,0.65244,1.41275,0.98481,0.95326,0.98306,0.62681,1.32046,0.59419,1.52464,0.0013532,0.0013532,0.0013532
51,343.978,1.34677,0.65883,1.40336,1,0.94941,0.98652,0.64067,1.24436,0.5767,1.47867,0.00134,0.00134,0.00134
52,350.522,1.33583,0.66531,1.39214,0.99803,0.98529,0.9934,0.61768,1.3193,0.58146,1.51172,0.0013268,0.0013268,0.0013268
53,357.125,1.27887,0.65082,1.36704,0.95567,0.97059,0.97827,0.65645,1.22427,0.57214,1.47972,0.0013136,0.0013136,0.0013136
54,363.737,1.26683,0.62594,1.33864,0.92905,0.97059,0.98868,0.66282,1.24154,0.58553,1.41429,0.0013004,0.0013004,0.0013004
55,370.322,1.23691,0.62209,1.33696,0.98482,0.95385,0.96763,0.62663,1.38774,0.5828,1.48703,0.0012872,0.0012872,0.0012872
56,376.839,1.29864,0.63399,1.32784,0.97662,0.95588,0.98033,0.67387,1.22372,0.54363,1.41642,0.001274,0.001274,0.001274
57,383.458,1.25947,0.62072,1.33744,0.99369,0.98529,0.98652,0.66919,1.20643,0.54114,1.44116,0.0012608,0.0012608,0.0012608
58,390.037,1.19139,0.5834,1.30324,0.97928,0.97059,0.98255,0.62496,1.26958,0.56372,1.50052,0.0012476,0.0012476,0.0012476
59,396.57,1.25737,0.60639,1.34296,0.96989,0.94739,0.97204,0.63486,1.35244,0.55915,1.51013,0.0012344,0.0012344,0.0012344
60,403.099,1.2099,0.60583,1.32959,0.96473,0.92647,0.96487,0.65255,1.32949,0.53138,1.46252,0.0012212,0.0012212,0.0012212
61,409.646,1.21928,0.58429,1.29699,0.98931,0.97059,0.99366,0.64453,1.20573,0.5222,1.4302,0.001208,0.001208,0.001208
62,416.175,1.27022,0.61302,1.34637,0.95288,0.92647,0.9591,0.64619,1.26694,0.55179,1.43016,0.0011948,0.0011948,0.0011948
63,422.753,1.27733,0.61561,1.34906,0.9934,0.97059,0.98855,0.63532,1.32802,0.56412,1.53387,0.0011816,0.0011816,0.0011816
64,429.281,1.2054,0.5877,1.32097,0.97714,0.98529,0.98945,0.65189,1.26486,0.51287,1.44861,0.0011684,0.0011684,0.0011684
65,435.861,1.24754,0.59643,1.30846,0.96523,0.95588,0.96957,0.63171,1.38533,0.55069,1.46336,0.0011552,0.0011552,0.0011552
